iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population
ALB,Europe,Albania,2/25/2020,,,,,,,,,,,,,8,8,0.003,0.003,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/26/2020,,,,,,,,,,,,,5,13,0.005,0.002,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/27/2020,,,,,,,,,,,,,4,17,0.006,0.001,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/28/2020,,,,,,,,,,,,,1,18,0.006,0,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/29/2020,,,,,,,,,,,,,8,26,0.009,0.003,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/1/2020,,,,,,,,,,,,,3,29,0.01,0.001,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/2/2020,,,,,,,,,,,,,2,31,0.011,0.001,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/3/2020,,,,,,,,,,,,,5,36,0.013,0.002,4,0.001,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/4/2020,,,,,,,,,,,,,6,42,0.015,0.002,4,0.001,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/5/2020,,,,,,,,,,,,,8,50,0.017,0.003,5,0.002,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/6/2020,,,,,,,,,,,,,3,53,0.018,0.001,5,0.002,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/7/2020,,,,,,,,,,,,,5,58,0.02,0.002,5,0.002,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/8/2020,,,,,,,,,,,,,1,59,0.021,0,4,0.001,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/9/2020,2,2,,,,,0.695,0.695,,,,,18,77,0.027,0.006,7,0.002,,,,,,,,,,,,36.11,2877800
ALB,Europe,Albania,3/10/2020,10,8,,,,,3.475,2.78,,,,,37,114,0.04,0.013,11,0.004,,,,,,,,,,,,41.67,2877800
ALB,Europe,Albania,3/11/2020,12,2,,1,1,,4.17,0.695,,0.347,0.347,,43,157,0.055,0.015,16,0.006,,,,,,,,,,,,51.85,2877800
ALB,Europe,Albania,3/12/2020,23,11,,1,0,,7.992,3.822,,0.347,0,,141,298,0.104,0.049,35,0.012,,,,,,,,,,,,51.85,2877800
ALB,Europe,Albania,3/13/2020,33,10,,1,0,,11.467,3.475,,0.347,0,,159,457,0.159,0.055,58,0.02,,,,,,,,,,,,78.7,2877800
ALB,Europe,Albania,3/14/2020,38,5,5.429,1,0,0.143,13.205,1.737,1.886,0.347,0,0.05,48,505,0.175,0.017,64,0.022,0.085,11.8,,,,,,,,,,78.7,2877800
ALB,Europe,Albania,3/15/2020,42,4,6,1,0,0.143,14.594,1.39,2.085,0.347,0,0.05,27,532,0.185,0.009,68,0.024,0.088,11.3,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/16/2020,51,9,7,1,0,0.143,17.722,3.127,2.432,0.347,0,0.05,31,563,0.196,0.011,69,0.024,0.101,9.9,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/17/2020,55,4,6.429,1,0,0.143,19.112,1.39,2.234,0.347,0,0.05,42,605,0.21,0.015,70,0.024,0.092,10.9,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/18/2020,59,4,6.714,2,1,0.143,20.502,1.39,2.333,0.695,0.347,0.05,60,665,0.231,0.021,73,0.025,0.092,10.9,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/19/2020,64,5,5.857,2,0,0.143,22.239,1.737,2.035,0.695,0,0.05,32,697,0.242,0.011,57,0.02,0.103,9.7,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/20/2020,70,6,5.286,2,0,0.143,24.324,2.085,1.837,0.695,0,0.05,35,732,0.254,0.012,39,0.014,0.136,7.4,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/21/2020,76,6,5.429,2,0,0.143,26.409,2.085,1.886,0.695,0,0.05,46,778,0.27,0.016,39,0.014,0.139,7.2,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/22/2020,89,13,6.714,2,0,0.143,30.926,4.517,2.333,0.695,0,0.05,33,811,0.282,0.011,40,0.014,0.168,6,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/23/2020,104,15,7.571,4,2,0.429,36.139,5.212,2.631,1.39,0.695,0.149,,,,,41,0.014,0.185,5.4,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/24/2020,123,19,9.714,5,1,0.571,42.741,6.602,3.376,1.737,0.347,0.199,,,,,40,0.014,0.243,4.1,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/25/2020,146,23,12.429,5,0,0.429,50.733,7.992,4.319,1.737,0,0.149,111,922,0.32,0.039,37,0.013,0.336,3,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/26/2020,174,28,15.714,6,1,0.571,60.463,9.73,5.461,2.085,0.347,0.199,103,1025,0.356,0.036,47,0.016,0.334,3,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/27/2020,186,12,16.571,8,2,0.857,64.633,4.17,5.758,2.78,0.695,0.298,102,1127,0.392,0.035,56,0.019,0.296,3.4,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/28/2020,197,11,17.286,10,2,1.143,68.455,3.822,6.007,3.475,0.695,0.397,79,1206,0.419,0.027,61,0.021,0.283,3.5,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/29/2020,212,15,17.571,10,0,1.143,73.667,5.212,6.106,3.475,0,0.397,111,1317,0.458,0.039,72,0.025,0.244,4.1,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/30/2020,223,11,17,11,1,1,77.49,3.822,5.907,3.822,0.347,0.347,90,1407,0.489,0.031,80,0.028,0.212,4.7,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/31/2020,243,20,17.143,15,4,1.429,84.44,6.95,5.957,5.212,1.39,0.496,145,1552,0.539,0.05,95,0.033,0.18,5.5,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/1/2020,259,16,16.143,15,0,1.429,89.999,5.56,5.609,5.212,0,0.496,152,1704,0.592,0.053,112,0.039,0.144,6.9,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/2/2020,277,18,14.714,16,1,1.429,96.254,6.255,5.113,5.56,0.347,0.496,96,1800,0.625,0.033,111,0.039,0.133,7.5,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/3/2020,304,27,16.857,17,1,1.286,105.636,9.382,5.858,5.907,0.347,0.447,112,1912,0.664,0.039,112,0.039,0.151,6.6,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/4/2020,333,29,19.429,20,3,1.429,115.713,10.077,6.751,6.95,1.042,0.496,216,2128,0.739,0.075,132,0.046,0.147,6.8,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/5/2020,361,28,21.286,20,0,1.429,125.443,9.73,7.397,6.95,0,0.496,149,2277,0.791,0.052,137,0.048,0.155,6.4,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/6/2020,377,16,22,21,1,1.429,131.003,5.56,7.645,7.297,0.347,0.496,175,2452,0.852,0.061,149,0.052,0.148,6.8,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/7/2020,383,6,20,22,1,1,133.088,2.085,6.95,7.645,0.347,0.347,182,2634,0.915,0.063,155,0.054,0.129,7.8,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/8/2020,400,17,20.143,22,0,1,138.995,5.907,6.999,7.645,0,0.347,236,2870,0.997,0.082,167,0.058,0.121,8.3,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/9/2020,409,9,18.857,23,1,1,142.122,3.127,6.553,7.992,0.347,0.347,234,3104,1.079,0.081,186,0.065,0.101,9.9,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/10/2020,416,7,16,23,0,0.857,144.555,2.432,5.56,7.992,0,0.298,162,3266,1.135,0.056,193,0.067,0.083,12.1,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/11/2020,433,17,14.286,23,0,0.429,150.462,5.907,4.964,7.992,0,0.149,259,3525,1.225,0.09,200,0.069,0.071,14,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/12/2020,446,13,12.143,23,0,0.429,154.979,4.517,4.219,7.992,0,0.149,233,3758,1.306,0.081,212,0.074,0.057,17.5,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/13/2020,467,21,12.857,23,0,0.286,162.277,7.297,4.468,7.992,0,0.099,193,3951,1.373,0.067,214,0.074,0.06,16.6,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/14/2020,475,8,13.143,24,1,0.286,165.057,2.78,4.567,8.34,0.347,0.099,236,4187,1.455,0.082,222,0.077,0.059,16.9,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/15/2020,494,19,13.429,25,1,0.429,171.659,6.602,4.666,8.687,0.347,0.149,252,4439,1.542,0.088,224,0.078,0.06,16.7,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/16/2020,518,24,15.571,26,1,0.429,179.999,8.34,5.411,9.035,0.347,0.149,269,4708,1.636,0.093,229,0.08,0.068,14.7,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/17/2020,539,21,17.571,26,0,0.429,187.296,7.297,6.106,9.035,0,0.149,253,4961,1.724,0.088,242,0.084,0.073,13.8,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,4/18/2020,548,9,16.429,26,0,0.429,190.423,3.127,5.709,9.035,0,0.149,231,5192,1.804,0.08,238,0.083,0.069,14.5,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/19/2020,562,14,16.571,26,0,0.429,195.288,4.865,5.758,9.035,0,0.149,231,5423,1.884,0.08,238,0.083,0.07,14.4,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/20/2020,584,22,16.714,26,0,0.429,202.933,7.645,5.808,9.035,0,0.149,233,5656,1.965,0.081,244,0.085,0.068,14.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/21/2020,609,25,19.143,26,0,0.286,211.62,8.687,6.652,9.035,0,0.099,242,5898,2.049,0.084,244,0.085,0.078,12.7,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/22/2020,634,25,20,27,1,0.286,220.307,8.687,6.95,9.382,0.347,0.099,252,6150,2.137,0.088,244,0.085,0.082,12.2,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/23/2020,663,29,20.714,27,0,0.143,230.384,10.077,7.198,9.382,0,0.05,240,6390,2.22,0.083,240,0.083,0.086,11.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/24/2020,678,15,19.857,27,0,0.143,235.597,5.212,6.9,9.382,0,0.05,259,6649,2.31,0.09,241,0.084,0.082,12.1,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/25/2020,712,34,23.429,27,0,0.143,247.411,11.815,8.141,9.382,0,0.05,247,6896,2.396,0.086,243,0.084,0.096,10.4,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/26/2020,726,14,23.429,28,1,0.286,252.276,4.865,8.141,9.73,0.347,0.099,264,7160,2.488,0.092,248,0.086,0.094,10.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/27/2020,736,10,21.714,28,0,0.286,255.751,3.475,7.545,9.73,0,0.099,212,7372,2.562,0.074,245,0.085,0.089,11.3,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/28/2020,750,14,20.143,30,2,0.571,260.616,4.865,6.999,10.425,0.695,0.199,267,7639,2.654,0.093,249,0.087,0.081,12.4,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/29/2020,766,16,18.857,30,0,0.429,266.176,5.56,6.553,10.425,0,0.149,270,7909,2.748,0.094,251,0.087,0.075,13.3,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,4/30/2020,773,7,15.714,31,1,0.571,268.608,2.432,5.461,10.772,0.347,0.199,225,8134,2.826,0.078,249,0.087,0.063,15.8,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/1/2020,782,9,14.857,31,0,0.571,271.735,3.127,5.163,10.772,0,0.199,245,8379,2.912,0.085,247,0.086,0.06,16.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/2/2020,789,7,11,31,0,0.571,274.168,2.432,3.822,10.772,0,0.199,171,8550,2.971,0.059,236,0.082,0.047,21.5,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/3/2020,795,6,9.857,31,0,0.429,276.253,2.085,3.425,10.772,0,0.149,197,8747,3.039,0.068,227,0.079,0.043,23,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/4/2020,803,8,9.571,31,0,0.429,279.033,2.78,3.326,10.772,0,0.149,140,8887,3.088,0.049,216,0.075,0.044,22.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/5/2020,820,17,10,31,0,0.143,284.94,5.907,3.475,10.772,0,0.05,270,9157,3.182,0.094,217,0.075,0.046,21.7,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/6/2020,832,12,9.429,31,0,0.143,289.11,4.17,3.276,10.772,0,0.05,255,9412,3.271,0.089,215,0.075,0.044,22.8,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/7/2020,842,10,9.857,31,0,0,292.585,3.475,3.425,10.772,0,0,275,9687,3.366,0.096,222,0.077,0.044,22.5,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/8/2020,850,8,9.714,31,0,0,295.365,2.78,3.376,10.772,0,0,238,9925,3.449,0.083,221,0.077,0.044,22.8,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/9/2020,856,6,9.571,31,0,0,297.449,2.085,3.326,10.772,0,0,224,10149,3.527,0.078,228,0.079,0.042,23.8,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/10/2020,868,12,10.429,31,0,0,301.619,4.17,3.624,10.772,0,0,170,10319,3.586,0.059,225,0.078,0.046,21.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/11/2020,872,4,9.857,31,0,0,303.009,1.39,3.425,10.772,0,0,121,10440,3.628,0.042,222,0.077,0.044,22.5,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/12/2020,876,4,8,31,0,0,304.399,1.39,2.78,10.772,0,0,243,10683,3.712,0.084,218,0.076,0.037,27.2,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/13/2020,880,4,6.857,31,0,0,305.789,1.39,2.383,10.772,0,0,246,10929,3.798,0.085,217,0.075,0.032,31.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/14/2020,898,18,8,31,0,0,312.044,6.255,2.78,10.772,0,0,191,11120,3.864,0.066,205,0.071,0.039,25.6,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/15/2020,916,18,9.429,31,0,0,318.299,6.255,3.276,10.772,0,0,219,11339,3.94,0.076,202,0.07,0.047,21.4,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/16/2020,933,17,11,31,0,0,324.206,5.907,3.822,10.772,0,0,306,11645,4.046,0.106,214,0.074,0.051,19.5,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/17/2020,946,13,11.143,31,0,0,328.723,4.517,3.872,10.772,0,0,260,11905,4.137,0.09,227,0.079,0.049,20.4,,,,,,,,,,89.81,2877800
ALB,Europe,Albania,5/18/2020,948,2,10.857,31,0,0,329.418,0.695,3.773,10.772,0,0,168,12073,4.195,0.058,233,0.081,0.047,21.5,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/19/2020,949,1,10.429,31,0,0,329.766,0.347,3.624,10.772,0,0,177,12250,4.257,0.062,224,0.078,0.047,21.5,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/20/2020,964,15,12,31,0,0,334.978,5.212,4.17,10.772,0,0,186,12436,4.321,0.065,215,0.075,0.056,17.9,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/21/2020,969,5,10.143,31,0,0,336.716,1.737,3.525,10.772,0,0,204,12640,4.392,0.071,217,0.075,0.047,21.4,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/22/2020,981,12,9.286,31,0,0,340.885,4.17,3.227,10.772,0,0,174,12814,4.453,0.06,211,0.073,0.044,22.7,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/23/2020,989,8,8,31,0,0,343.665,2.78,2.78,10.772,0,0,200,13014,4.522,0.069,196,0.068,0.041,24.5,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/24/2020,998,9,7.429,32,1,0.143,346.793,3.127,2.581,11.12,0.347,0.05,146,13160,4.573,0.051,179,0.062,0.042,24.1,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/25/2020,1004,6,8,32,0,0.143,348.878,2.085,2.78,11.12,0,0.05,54,13214,4.592,0.019,163,0.057,0.049,20.4,,,,,,,,,,83.33,2877800
ALB,Europe,Albania,5/26/2020,1029,25,11.429,33,1,0.286,357.565,8.687,3.971,11.467,0.347,0.099,173,13387,4.652,0.06,162,0.056,0.071,14.2,,,,,,,,,,86.11,2877800
ALB,Europe,Albania,5/27/2020,1050,21,12.286,33,0,0.286,364.862,7.297,4.269,11.467,0,0.099,262,13649,4.743,0.091,173,0.06,0.071,14.1,,,,,,,,,,86.11,2877800
ALB,Europe,Albania,5/28/2020,1076,26,15.286,33,0,0.286,373.897,9.035,5.312,11.467,0,0.099,225,13874,4.821,0.078,176,0.061,0.087,11.5,,,,,,,,,,86.11,2877800
ALB,Europe,Albania,5/29/2020,1099,23,16.857,33,0,0.286,381.889,7.992,5.858,11.467,0,0.099,276,14150,4.917,0.096,191,0.066,0.088,11.3,,,,,,,,,,86.11,2877800
ALB,Europe,Albania,5/30/2020,1122,23,19,33,0,0.286,389.881,7.992,6.602,11.467,0,0.099,229,14379,4.997,0.08,195,0.068,0.097,10.3,,,,,,,,,,86.11,2877800
ALB,Europe,Albania,5/31/2020,1137,15,19.857,33,0,0.143,395.093,5.212,6.9,11.467,0,0.05,225,14604,5.075,0.078,206,0.072,0.096,10.4,,,,,,,,,,86.11,2877800
ALB,Europe,Albania,6/1/2020,1143,6,19.857,33,0,0.143,397.178,2.085,6.9,11.467,0,0.05,102,14706,5.11,0.035,213,0.074,0.093,10.7,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/2/2020,1164,21,19.286,33,0,0,404.476,7.297,6.702,11.467,0,0,243,14949,5.195,0.084,223,0.077,0.086,11.6,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/3/2020,1184,20,19.143,33,0,0,411.425,6.95,6.652,11.467,0,0,297,15246,5.298,0.103,228,0.079,0.084,11.9,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/4/2020,1197,13,17.286,33,0,0,415.943,4.517,6.007,11.467,0,0,282,15528,5.396,0.098,236,0.082,0.073,13.7,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/5/2020,1212,15,16.143,33,0,0,421.155,5.212,5.609,11.467,0,0,162,15690,5.452,0.056,220,0.076,0.073,13.6,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/6/2020,1232,20,15.714,34,1,0.143,428.105,6.95,5.461,11.815,0.347,0.05,253,15943,5.54,0.088,223,0.077,0.07,14.2,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/7/2020,1246,14,15.571,34,0,0.143,432.97,4.865,5.411,11.815,0,0.05,193,16136,5.607,0.067,219,0.076,0.071,14.1,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/8/2020,1263,17,17.143,34,0,0.143,438.877,5.907,5.957,11.815,0,0.05,102,16238,5.643,0.035,219,0.076,0.078,12.8,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/9/2020,1299,36,19.286,34,0,0.143,451.386,12.51,6.702,11.815,0,0.05,359,16597,5.767,0.125,235,0.082,0.082,12.2,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/10/2020,1341,42,22.429,34,0,0.143,465.981,14.594,7.794,11.815,0,0.05,311,16908,5.875,0.108,237,0.082,0.095,10.6,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/11/2020,1385,44,26.857,35,1,0.286,481.27,15.289,9.333,12.162,0.347,0.099,291,17199,5.976,0.101,239,0.083,0.112,8.9,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/12/2020,1416,31,29.143,36,1,0.429,492.043,10.772,10.127,12.51,0.347,0.149,300,17499,6.081,0.104,258,0.09,0.113,8.9,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/13/2020,1464,48,33.143,36,0,0.286,508.722,16.679,11.517,12.51,0,0.099,270,17769,6.175,0.094,261,0.091,0.127,7.9,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/14/2020,1521,57,39.286,36,0,0.286,528.529,19.807,13.651,12.51,0,0.099,362,18131,6.3,0.126,285,0.099,0.138,7.3,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/15/2020,1590,69,46.714,36,0,0.286,552.505,23.977,16.233,12.51,0,0.099,319,18450,6.411,0.111,316,0.11,0.148,6.8,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/16/2020,1672,82,53.286,37,1,0.429,580.999,28.494,18.516,12.857,0.347,0.149,364,18814,6.538,0.126,317,0.11,0.168,5.9,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/17/2020,1722,50,54.429,38,1,0.571,598.374,17.374,18.913,13.205,0.347,0.199,333,19147,6.653,0.116,320,0.111,0.17,5.9,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/18/2020,1788,66,57.571,39,1,0.571,621.308,22.934,20.005,13.552,0.347,0.199,280,19427,6.751,0.097,318,0.111,0.181,5.5,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/19/2020,1838,50,60.286,42,3,0.857,638.682,17.374,20.949,14.594,1.042,0.298,330,19757,6.865,0.115,323,0.112,0.187,5.4,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/20/2020,1891,53,61,43,1,1,657.099,18.417,21.197,14.942,0.347,0.347,320,20077,6.977,0.111,330,0.115,0.185,5.4,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/21/2020,1962,71,63,44,1,1.143,681.771,24.672,21.892,15.289,0.347,0.397,327,20404,7.09,0.114,325,0.113,0.194,5.2,,,,,,,,,,71.3,2877800
ALB,Europe,Albania,6/22/2020,1995,33,57.857,44,0,1.143,693.238,11.467,20.105,15.289,0,0.397,239,20643,7.173,0.083,313,0.109,0.185,5.4,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/23/2020,2047,52,53.571,45,1,1.143,711.307,18.069,18.615,15.637,0.347,0.397,328,20971,7.287,0.114,308,0.107,0.174,5.7,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/24/2020,2114,67,56,47,2,1.286,734.589,23.282,19.459,16.332,0.695,0.447,347,21318,7.408,0.121,310,0.108,0.181,5.5,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/25/2020,2192,78,57.714,49,2,1.429,761.693,27.104,20.055,17.027,0.695,0.496,344,21662,7.527,0.12,319,0.111,0.181,5.5,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/26/2020,2269,77,61.571,51,2,1.286,788.45,26.757,21.395,17.722,0.695,0.447,402,22064,7.667,0.14,330,0.115,0.187,5.4,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/27/2020,2330,61,62.714,53,2,1.429,809.646,21.197,21.792,18.417,0.695,0.496,355,22419,7.79,0.123,335,0.116,0.187,5.3,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/28/2020,2402,72,62.857,55,2,1.571,834.665,25.019,21.842,19.112,0.695,0.546,374,22793,7.92,0.13,341,0.118,0.184,5.4,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/29/2020,2466,64,67.286,58,3,2,856.905,22.239,23.381,20.154,1.042,0.695,371,23164,8.049,0.129,360,0.125,0.187,5.4,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,6/30/2020,2535,69,69.714,62,4,2.429,880.881,23.977,24.225,21.544,1.39,0.844,371,23535,8.178,0.129,366,0.127,0.19,5.3,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,7/1/2020,2580,45,66.571,65,3,2.571,896.518,15.637,23.133,22.587,1.042,0.894,269,23804,8.272,0.093,355,0.123,0.188,5.3,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,7/2/2020,2662,82,67.143,69,4,2.857,925.012,28.494,23.331,23.977,1.39,0.993,368,24172,8.399,0.128,359,0.125,0.187,5.3,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,7/3/2020,2752,90,69,72,3,3,956.286,31.274,23.977,25.019,1.042,1.042,362,24534,8.525,0.126,353,0.123,0.195,5.1,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,7/4/2020,2819,67,69.857,74,2,3,979.568,23.282,24.274,25.714,0.695,1.042,376,24910,8.656,0.131,356,0.124,0.196,5.1,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,7/5/2020,2893,74,70.143,76,2,3,1005.282,25.714,24.374,26.409,0.695,1.042,392,25302,8.792,0.136,358,0.124,0.196,5.1,,,,,,,,,,68.52,2877800
ALB,Europe,Albania,7/6/2020,2964,71,71.143,79,3,3,1029.953,24.672,24.721,27.452,1.042,1.042,459,25761,8.952,0.159,371,0.129,0.192,5.2,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/7/2020,3038,74,71.857,81,2,2.714,1055.668,25.714,24.969,28.147,0.695,0.943,409,26170,9.094,0.142,376,0.131,0.191,5.2,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/8/2020,3106,68,75.143,83,2,2.571,1079.297,23.629,26.111,28.841,0.695,0.894,397,26567,9.232,0.138,395,0.137,0.19,5.3,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/9/2020,3188,82,75.143,83,0,2,1107.791,28.494,26.111,28.841,0,0.695,401,26968,9.371,0.139,399,0.139,0.188,5.3,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/10/2020,3278,90,75.143,85,2,1.857,1139.065,31.274,26.111,29.536,0.695,0.645,420,27388,9.517,0.146,408,0.142,0.184,5.4,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/11/2020,3371,93,78.857,89,4,2.143,1171.381,32.316,27.402,30.926,1.39,0.745,420,27808,9.663,0.146,414,0.144,0.19,5.3,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/12/2020,3454,83,80.143,93,4,2.429,1200.222,28.841,27.849,32.316,1.39,0.844,420,28228,9.809,0.146,418,0.145,0.192,5.2,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/13/2020,3571,117,86.714,95,2,2.286,1240.878,40.656,30.132,33.011,0.695,0.794,585,28813,10.012,0.203,436,0.152,0.199,5,,,,,,,,,,62.96,2877800
ALB,Europe,Albania,7/14/2020,3667,96,89.857,97,2,2.286,1274.237,33.359,31.224,33.706,0.695,0.794,451,29264,10.169,0.157,442,0.154,0.203,4.9,,,,,,,,,,62.96,2877800
